,Unnamed: 0,pop_est,continent,name,iso_a3,gdp_md_est,Order,Country of president,President,Location continent,Location country,Location city,Date start,Date end,Subject,Participants,Source,Link,year
29,4,326625791,North America,United States of America,USA,18560000,705,Russia,Putin,,United States of America,,11.7.2001,,President Vladimir Putin gave an interview to the ABC TV channel on the eve of his official visit to the US,,,http://en.kremlin.ru/events/president/trips/45476,2001
30,4,326625791,North America,United States of America,USA,18560000,776,China,Xi Jinping,,United States of America,Palm Beach,4.6.2017,4.7.2017,"Xi says ready to boost China-U.S. ties from new starting point with Trump, Xi Jinping Meets with Alaskan Governor Bill Walker of the US, Xi, Trump pledge to expand mutually beneficial cooperation, manage differences , Xi arrives in U.S. for first meeting with Trump","Xi Jinping, Donald Trump, Xi Jinping, Bill Walker, Xi Jinping, Li Zhanshu, Wang Yang, Yang Chuantang, Donald Trump, Xi Jinping, Rex Tillerson",http://news.xinhuanet.com/english/2017-04/07/c_136188311.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=26369,2017
33,4,326625791,North America,United States of America,USA,18560000,836,China,Xi Jinping,,United States of America,Rancho Mirage,6.6.2013,6.8.2013,"Chinese president arrives in California for summit with Obama, Xi Jinping and US President Obama Hold Joint Press Conference #China-#U.S, Xi, Obama meet for 1st summit #China #USA, Chinese president meets with governor of California in #U.S. #China, Xi Jinping  voices confidence in #China-USA cooperation during meeting with California Governor Edmund Brown, Xi Jinping and Barack Obama held the second meeting in California to exchange views on economic ties","Xi Jinping, Barack Obama, Wang Yi, Xi Jinping, Barack Obama, Xi Jinping, Jerry Brown, Xi Jinping, Edmund Brown, Xi Jinping, Barack Obama",http://news.xinhuanet.com/english/china/2013-06/09/c_124835914.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=17333,2013
35,4,326625791,North America,United States of America,USA,18560000,858,China,Hu Jintao,,United States of America,Chicago,18.1.2011,21.1.2011,"Chinese president starts state visit to U.S., President Hu Jintao Meets with Former U.S. President Clinton, Chinese president looks to entrepreneurs to boost China-U.S. ties, Chinese president vows to advance positive, cooperative and comprehensive relationship with U.S., Chinese President Hu says to further increase people-to-people exchanges with U.S., Hu, Obama set new tone for relations, Chinese president attends private dinner hosted by Obama, President Hu calls for China-U.S. cooperation to meet global challenges, China, U.S. to build cooperative partnership of mutual respect and mutual benefit , China, U.S. aim at cooperative partnership for global benefits , President Hu says important consensus reached in talks with Obama, China, U.S. aim at cooperative partnership for global benefits , Full text of Hu's speech at welcome luncheon by U.S. friendly organizations, Chinese President Hu attends luncheon by U.S. friendly organizations, Chinese president initiates proposal to advance Sino-U.S. relations, Chinese president sees broader basis for Sino-U.S. cooperation on global issues, Chinese president in Chicago to continue U.S. visit, Hu's visit brings U.S., China closer: former U.S. defense secretary, Chinese president in Chicago to continue U.S. visit, Chinese president urges U.S. Congress to further facilitate bilateral ties, Obama says U.S. welcomes China's peaceful rise, Chinese president says China committed to protecting human rights, Hu's visit opens new chapter in relations, Hu: Foreign investors treated equally in China, Chinese president tours high school in Chicago, Chinese president visits exhibition of U.S. Midwest companies, Chinese president ends state visit to United States of America","Hu Jintao, Bill Clinton, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Richard Daley, Hu Jintao, William Cohen, Hu Jintao, Harry Reid, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao",http://news.xinhuanet.com/english2010/china/2011-01/22/c_13702069.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=10015,2011
36,4,326625791,North America,United States of America,USA,18560000,868,China,Hu Jintao,,United States of America,Washington D.C.,4.12.2010,13.4.2010,"Hu Jintao met with U.S. President Barack Obama., Hu Jintao attended the first plenary session of the Nuclear Security Summit.","Hu Jintao, Chen Deming, Dai Bingguo, Li Yizhong, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Zhang Yesui, Barack Obama, Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi",http://news.xinhuanet.com/english2010/china/2010-04/14/c_13249922.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=8295,2010
39,4,326625791,North America,United States of America,USA,18560000,920,China,Hu Jintao,,United States of America,New Haven,18.4.2006,21.4.2006,"Hu Jintao and his wife Liu Yongqing, accompanied by Microsoft Chairman Bill Gates, visited Microsoft headquarters., Hu Jintao met with Washington Governor Christine Gregoire., Hu Jintao visited the plane manufacturing plant of Boeing., Hu Jintao delivered a speech at a dinner hosted by friendly organizations in the United States of America.
, Hu Jintao met with U.S. Vice President Dick Cheney and Senate President Pro Tempore Ted Stevens., Hu Jintao met with U.S. President George W. Bush at the White House for talks on issues ranging from Sino-U.S. relations to major international and regional issues., Hu Jintao delivered a speech at Yale University.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Bill Gates, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Christine Gregoire, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Dick Cheney, Ted Stevens, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, George W. Bush, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Zhou Ji",http://english.gov.cn/2006-04/21/content_260612.htm,http://www.chinavitae.com//vip/index.php?mode=show&id=4887,2006
41,4,326625791,North America,United States of America,USA,18560000,959,China,Jiang Zemin,,United States of America,"Chicago, Crawford(Texas), Houston",22.10.2002,25.10.2002,Visit to the US,"George H. Ryan, Governor of the State of Illinois.George W Bush President of the US, George Bush, father of current president",http://www.china-embassy.org/eng/zmgx/zysj/jzmfm/t35923.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/zt2002_675989/,2002
42,5,18556698,Asia,Kazakhstan,KAZ,460700,314,Russia,Putin,,Kazakhstan,,28.5.2019,,Vladimir Putin arrived in Kazakhstan,,,http://en.kremlin.ru/events/president/trips/60604,2019
43,5,18556698,Asia,Kazakhstan,KAZ,460700,322,Russia,Putin,,Kazakhstan,,11.8.2018,,Vladimir Putin arrived in Astana,,,http://en.kremlin.ru/events/president/trips/59079,2018
44,5,18556698,Asia,Kazakhstan,KAZ,460700,330,Russia,Putin,,Kazakhstan,,8.12.2018,,Vladimir Putin arrived in Kazakhstan,,,http://en.kremlin.ru/events/president/trips/58300,2018
